Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Earring design (product.metafields.shopify.earring-design),Fabric (product.metafields.shopify.fabric),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Neckline (product.metafields.shopify.neckline),Ring design (product.metafields.shopify.ring-design),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / Australia,Price / Australia,Compare At Price / Australia,Included / Canada,Price / Canada,Compare At Price / Canada,Included / Europe,Price / Europe,Compare At Price / Europe,Included / Kuwait,Price / Kuwait,Compare At Price / Kuwait,Included / New Zealand,Price / New Zealand,Compare At Price / New Zealand,Included / Russia,Price / Russia,Compare At Price / Russia,Included / Singapore,Price / Singapore,Compare At Price / Singapore,Included / UAE,Price / UAE,Compare At Price / UAE,Included / US Outlying Islands,Price / US Outlying Islands,Compare At Price / US Outlying Islands,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Status
silver-nomad,SILVER NOMAD,"<p style=""text-align: center;"">SILVER NOMAD</p>
<p>A quiet shimmer of movement and memory.<br data-start=""394"" data-end=""397"">Handcrafted silver charms gather along delicate strands, creating a piece that moves with every step and catches the light like small stories carried with you.</p>",SILVER NOMAD,Apparel & Accessories > Jewelry,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,215.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0708/3232/4881/files/silver-nomad-4435844.jpg?v=1772698267,1,SILVER NOMAD - MAZONKIKI,false,,,188,,,,,,,,,,,,,,,,silver,,,,,silver; metal,imitation-jewelry,,,,,,,unisex,,,,,,,g,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
silk-jacquard-kimono,CINNAMON GARDEN,"<p data-start=""303"" data-end=""553"">A structured kimono in deep autumn florals, <strong data-start=""347"" data-end=""366"">Cinnamon Garden</strong> moves like a light coat, framing the body with effortless elegance. The textured jacquard fabric carries rich botanical detail, creating depth and quiet drama as it flows with each step.</p>
<p data-start=""555"" data-end=""677"">Designed as a refined layering piece, the elongated silhouette adds movement and presence while remaining light and fluid.</p>
<p data-start=""679"" data-end=""710""><em data-start=""679"" data-end=""710"">Listing includes kimono only.</em></p>",CINNAMON GARDEN,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos,Kimono,"",true,Size,m,product.metafields.shopify.size,,,,,,,MK-VEL-361-M-KIM-25,0.0,shopify,3,deny,manual,248.00,95.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0708/3232/4881/files/velvet-kyoto-kimono-2055087.jpg?v=1770851323,1,Velvet Kyoto Kimono - KimonoMAZONKIKI,false,,"Quiet luxury Silk Jacquard Kimono JAKARTA SUNSET Crafted in a rich maroon and black jacquard , his flowing open-front kimono channels timeless Eastern elegance with a modern edge. The luxurious texture and subtle sheen elevate any look — whether layered over a dress, tailored trousers, or worn at home in opulent comfort. With only two pieces ever made, this is a rare collector’s item for the woman who curates with intention. Features: Limited Edition: Only two pieces available worldwide. Viscose-Silk Jacquard Blend: A refined composition of viscose, satin, silk, and jacquard for soft drape and texture. Flowing Silhouette: Dramatic movement with a longline cut and generous volume. Open Front: Effortlessly drapes over any outfit. Statement Layer: Ideal for evening events, luxe lounging, or slow-fashion styling. Material composition: 60% Viscose 10% Satin 10% Silk 20% Silk Jacquard Care instructions: Dry clean onlyCool iron on reverse if needed Country of manufacture: Made in Türkiye",,,adult,,,,,,,,,,,adults,,,floral; red,,,,velvet; viscose; satin; silk,,,,,,m; l; s,,,female,,bronze-silhouette-maxi-satin-dress,"",ahead,,,g,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
silk-jacquard-kimono,,,,,,,,,l,,,,,,,,MK-VEL-366-L-KIM-25,0.0,shopify,3,deny,manual,248.00,95.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0708/3232/4881/files/velvet-kyoto-kimono-4810624.jpg?v=1770851323,2,Velvet Kyoto Kimono - KimonoMAZONKIKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silk-jacquard-kimono,,,,,,,,,s,,,,,,,,MK-VEL-365-S-KIM-25,0.0,shopify,3,deny,manual,248.00,95.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0708/3232/4881/files/velvet-kyoto-kimono-8741751.jpg?v=1770851323,3,Velvet Kyoto Kimono - KimonoMAZONKIKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silk-jacquard-kimono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/3232/4881/files/velvet-kyoto-kimono-1940024.jpg?v=1770851323,4,Velvet Kyoto Kimono - KimonoMAZONKIKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silk-jacquard-kimono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/3232/4881/files/velvet-kyoto-kimono-7032370.jpg?v=1770851323,5,Velvet Kyoto Kimono - KimonoMAZONKIKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silk-jacquard-kimono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/3232/4881/files/velvet-kyoto-kimono-1538391.jpg?v=1753218812,6,Velvet Kyoto Kimono - KimonoMAZONKIKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pink-aura-ensemble,Pink Aura Ensemble,"<p data-start=""269"" data-end=""685"">Emanating romantic charm and feminine grace, the Pink Aura Ensemble is a delicately coordinated jewelry set designed to captivate. Crafted from gold-plated Zamac and accented with soft rosy pink stones, this trio—featuring a long necklace, elegant drop earrings, and a bold cocktail ring—blends subtle luxury with timeless polish. Perfect for elevating day or evening looks with a touch of effortless sophistication.</p>
<p data-start=""687"" data-end=""699""><strong data-start=""687"" data-end=""699"">Details:</strong></p>
<ul data-start=""701"" data-end=""945"">
<li data-start=""701"" data-end=""760"">
<p data-start=""703"" data-end=""760""><strong data-start=""703"" data-end=""716"">Material:</strong> Gold-plated Zamac with pink stone accents</p>
</li>
<li data-start=""761"" data-end=""816"">
<p data-start=""763"" data-end=""816""><strong data-start=""763"" data-end=""776"">Includes:</strong> Necklace, earrings, and cocktail ring</p>
</li>
<li data-start=""817"" data-end=""862"">
<p data-start=""819"" data-end=""862""><strong data-start=""819"" data-end=""830"">Design:</strong> Coordinated feminine ensemble</p>
</li>
<li data-start=""863"" data-end=""909"">
<p data-start=""865"" data-end=""909""><strong data-start=""865"" data-end=""875"">Style:</strong> Romantic, polished, and refined</p>
</li>
<li data-start=""910"" data-end=""945"">
<p data-start=""912"" data-end=""945""><strong data-start=""912"" data-end=""923"">Finish:</strong> Smooth and luminous</p>
</li>
</ul>",GOLDEN AURA,Apparel & Accessories > Jewelry > Jewelry Sets,Jewelry Set,"",false,Title,Default Title,,,,,,,,MK-PIN-410-DEF-JEW-25,0.0,shopify,1,deny,manual,169.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0708/3232/4881/files/pink-aura-ensemble-2858509.jpg?v=1771010547,1,Pink Aura Ensemble - Jewelry SetMAZONKIKI,false,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,draft
pink-aura-ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/3232/4881/files/pink-aura-ensemble-8838828.jpg?v=1753301689,2,Pink Aura Ensemble - Jewelry SetMAZONKIKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pink-aura-ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/3232/4881/files/pink-aura-ensemble-4768967.jpg?v=1753301689,3,Pink Aura Ensemble - Jewelry SetMAZONKIKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
